Question,A,B,D,Correct
Qoldiqli bo'lishni toping: 1298:7,185(3q),175(3q),285(2q),A
Ifodaning qiymatini toping:(5890-4895)x3,995,2985,2975,B
To'rtburchakning bo'yi 106m va eni 43 m.To'rtburchakning yuzini toping,4886,3876,4876,D
Uchta kitob 2700 som, oltita ruchka 3000 turadi. Bitta kitob bitta ruchkadan necha somga qimmat turadi?,900,50,400,D
Ko'paytmani toping:2341x312,730392,630392,730382,A
2 sutka necha soat?,24soat,48soat,120soat,B
Birinchi daraxtdan 72 kg va ikkinchi daraxtdan 48 kg olma terib olindi. Hamma olmalar 8kgdan qilib yashiklarga solindi. Olmalar necha yashik bo'ldi?,9yashik,7yashik,15yashik,D
Tenglamani yeching: 714:x=3852-3849,238,158,3,A
Bo'linmani toping: 3600:300,100,120,12,D
Qaysi son 9 ga qoldiqsiz bo'linadi?,100,99,101,B
