Question,A,B,D,Correct
Gap turlari nechta?,5ta,3ta,4ta,D
Gap nimani bildiradi?,mazmun jihatdan bog'langan gaplarni,tugallangan fikrni bildiradi,mazmun jihatdan bog'langan so'zlarni,B
Darak gapni belgilang,Bog'da qip-qizil olmalar pishdi,Gulla yashna go'zal Toshkentim,Yoz qaysi oydan boshlanadi,A
Buyruq gapning oxiriga qanday tinish belgisi qo'yiladi?,undov,soroq,nuqta,D
Gap bo'laklari to'liq berilgan qatorni toping,bosh bo'laklar,ikkinchi darajali bo'laklar,bosh bo'laklar va ikkinchi darajali bo'laklar,D
Bosh bo'laklarni belgilang:,ega,kesim,ega va kesim,D
Ikkkinchi darajali bo'laklar gapda qanday vazifani bajaradi?,tugallangan mazmunni bildiradi,gapning mazmunini to'ldiradi,gap hosil qiladi,B
Berilgan gapdagi bosh bo'laklarni toping: O'quvchilar sinfga kirdilar,O'quvchilar,sinfga kirdilar,O'quvchilar kirdilar,D
Berilgan gapdagi egani toping: Osmonni qora bulut qopladi.,bulut,osmonni,qopladi,A
Ega qanday so'roqlarga javob bo'ladi?,nima qildi?nima qiladi?,nima?kim?qayer?,qanday?qanaqa?,B
